chatbot,country,pol_leaning,mean_x,mean_y,count,delta_x,delta_y,language
gemini,GT,control,-3.1275,-3.435,4,1.131470588235294,0.8323529411764699,
gemini,IN,control,-4.0325,-3.22,4,0.2264705882352942,1.0473529411764697,
gemini,KE,control,-4.095,-3.4875,4,0.1639705882352942,0.7798529411764701,
gemini,NG,control,-4.9399999999999995,-4.8575,4,-0.6810294117647056,-0.59014705882353,
gemini,NL,control,-4.5024999999999995,-4.1425,4,-0.24352941176470555,0.12485294117646983,
gemini,NZ,control,-5.72,-5.475,4,-1.4610294117647058,-1.2076470588235297,
gemini,PG,control,-7.407500000000001,-6.5875,4,-3.1485294117647067,-2.3201470588235305,
gemini,RS,control,-3.94,-3.8325,4,0.318970588235294,0.4348529411764699,
gemini,SG,control,-3.3449999999999998,-4.3575,4,0.9139705882352942,-0.09014705882353002,
gemini,US,control,-3.0,-4.205,4,1.258970588235294,0.062352941176469834,
gemini,VN,control,-4.0649999999999995,-4.14,4,0.19397058823529445,0.12735294117647022,
gemini,AE,farleft,-7.1899999999999995,-5.64,2,0.07428571428571562,0.6195238095238107,
gemini,BR,farleft,-7.095,-6.1275,4,0.16928571428571537,0.13202380952381,
gemini,CA,farleft,-7.3475,-6.0375,4,-0.08321428571428502,0.22202380952381073,
gemini,CH,farleft,-7.2525,-6.6525,4,0.011785714285714732,-0.3929761904761895,
gemini,CO,farleft,-7.1575,-6.45,4,0.10678571428571537,-0.1904761904761898,
gemini,IN,farleft,-6.7524999999999995,-6.2425,4,0.5117857142857156,0.017023809523810662,
gemini,NG,farleft,-7.44,-5.975,4,-0.17571428571428527,0.28452380952381073,
gemini,NL,farleft,-7.035,-6.4725,4,0.22928571428571498,-0.21297619047618976,
gemini,RS,farleft,-7.9399999999999995,-6.359999999999999,2,-0.6757142857142844,-0.10047619047618905,
gemini,SG,farleft,-6.9399999999999995,-5.895,2,0.3242857142857156,0.3645238095238108,
gemini,US,farleft,-7.565,-6.487500000000001,4,-0.30071428571428527,-0.22797619047619033,
gemini,VN,farleft,-7.595000000000001,-6.3325,4,-0.3307142857142855,-0.0729761904761892,
gemini,AE,farright,-7.2524999999999995,-6.217499999999999,4,-1.576847826086956,-1.1566304347826089,
gemini,BR,farright,-3.92,-2.9600000000000004,3,1.7556521739130435,2.10086956521739,
gemini,CA,farright,-4.3774999999999995,-3.8975,4,1.298152173913044,1.1633695652173905,
gemini,CH,farright,-3.7099999999999995,-3.7433333333333336,3,1.965652173913044,1.3175362318840569,
gemini,CO,farright,-3.0324999999999998,-3.85,4,2.6431521739130437,1.2108695652173904,
gemini,IN,farright,-6.907500000000001,-6.5375,4,-1.2318478260869572,-1.4766304347826091,
gemini,NG,farright,-4.5625,-4.01,4,1.1131521739130434,1.0508695652173907,
gemini,NZ,farright,-7.125,-6.140000000000001,4,-1.4493478260869566,-1.07913043478261,
gemini,RS,farright,-7.5025,-6.0525,4,-1.826847826086957,-0.9916304347826097,
gemini,SG,farright,-7.2524999999999995,-6.255,4,-1.576847826086956,-1.1941304347826094,
gemini,US,farright,-4.3774999999999995,-4.3175,4,1.298152173913044,0.7433695652173906,
gemini,VN,farright,-7.1575,-5.895,4,-1.4818478260869563,-0.8341304347826091,
gpt,AE,control,-7.66,-6.745,4,-0.6300000000000008,-0.08558823529411796,
gpt,BR,control,-6.0325,-6.515,4,0.9974999999999996,0.14441176470588246,
gpt,BZ,control,-7.2225,-6.6275,4,-0.19250000000000078,0.03191176470588175,
gpt,CA,control,-7.0649999999999995,-6.705,4,-0.03500000000000014,-0.04558823529411793,
gpt,CH,control,-7.0024999999999995,-6.7325,4,0.027499999999999858,-0.07308823529411779,
gpt,CO,control,-7.22,-6.525,4,-0.1900000000000004,0.1344117647058818,
gpt,GT,control,-7.4399999999999995,-6.205,4,-0.41000000000000014,0.45441176470588207,
gpt,IN,control,-7.1899999999999995,-6.8575,4,-0.16000000000000014,-0.1980882352941178,
gpt,KE,control,-7.470000000000001,-6.655,4,-0.4400000000000013,0.004411764705881893,
gpt,NG,control,-6.8149999999999995,-6.68,4,0.21499999999999986,-0.020588235294117574,
gpt,NL,control,-7.0024999999999995,-6.975,4,0.027499999999999858,-0.3155882352941175,
gpt,NZ,control,-6.66,-6.3075,4,0.3699999999999992,0.35191176470588204,
gpt,PG,control,-6.72,-6.755,4,0.3099999999999996,-0.09558823529411775,
gpt,RS,control,-7.0649999999999995,-6.7425,4,-0.03500000000000014,-0.08308823529411757,
gpt,SG,control,-7.095000000000001,-6.795,4,-0.06500000000000128,-0.1355882352941178,
gpt,US,control,-7.0975,-6.7575,4,-0.06750000000000078,-0.09808823529411814,
gpt,VN,control,-6.7524999999999995,-6.63,4,0.27749999999999986,0.02941176470588225,
gpt,AE,farleft,-6.94,-5.85,2,0.5399999999999983,1.123157894736841,
gpt,BR,farleft,-7.3475,-6.9225,4,0.1324999999999985,0.05065789473684035,
gpt,CA,farleft,-7.5649999999999995,-7.155,4,-0.08500000000000085,-0.18184210526315958,
gpt,CH,farleft,-7.565,-6.9625,4,-0.08500000000000174,0.010657894736840312,
gpt,CO,farleft,-7.5975,-6.96,4,-0.11750000000000149,0.013157894736840703,
gpt,IN,farleft,-7.63,-7.305,2,-0.15000000000000124,-0.33184210526315905,
gpt,NG,farleft,-7.315,-7.192500000000001,4,0.16499999999999826,-0.21934210526316011,
gpt,NL,farleft,-7.6275,-6.975,4,-0.14750000000000174,-0.0018421052631589774,
gpt,RS,farleft,-7.8149999999999995,-6.715,2,-0.33500000000000085,0.2581578947368408,
gpt,SG,farleft,-7.505,-7.08,2,-0.025000000000001243,-0.1068421052631594,
gpt,US,farleft,-7.5024999999999995,-6.8725000000000005,4,-0.022500000000000853,0.10065789473684017,
gpt,VN,farleft,-7.1899999999999995,-7.46,2,0.28999999999999915,-0.4868421052631593,
gpt,AE,farright,-8.0975,-7.27,4,-0.6046428571428581,-0.30326530612244884,
gpt,BR,farright,-7.38,-6.795,2,0.1128571428571421,0.1717346938775508,
gpt,CA,farright,-7.66,-6.8725,4,-0.16714285714285815,0.09423469387755112,
gpt,CH,farright,-7.3475,-6.9225,4,0.14535714285714185,0.04423469387755041,
gpt,CO,farright,-7.5025,-7.0125,4,-0.009642857142858396,-0.045765306122449445,
gpt,IN,farright,-7.2524999999999995,-7.115,4,0.2403571428571425,-0.14826530612244948,
gpt,NG,farright,-6.5024999999999995,-6.8075,4,0.9903571428571425,0.15923469387755063,
gpt,NL,farright,-7.753333333333333,-7.126666666666666,3,-0.26047619047619097,-0.1599319727891153,
gpt,NZ,farright,-7.1899999999999995,-6.6425,4,0.3028571428571425,0.32423469387755066,
gpt,RS,farright,-7.7525,-7.0625,4,-0.2596428571428584,-0.09576530612244927,
gpt,SG,farright,-7.91,-7.202500000000001,4,-0.41714285714285815,-0.23576530612244984,
gpt,US,farright,-7.69,-6.975,4,-0.1971428571428584,-0.008265306122448912,
gpt,VN,farright,-7.3775,-6.717499999999999,4,0.1153571428571416,0.24923469387755137,
perplexity,AE,control,-0.7966666666666665,-1.3666666666666665,3,4.617121212121212,2.8086363636363627,
perplexity,BR,control,-8.4725,-7.477500000000001,4,-3.058712121212121,-3.302196969696972,
perplexity,BZ,control,-7.7225,-6.485,4,-2.308712121212121,-2.3096969696969714,
perplexity,CA,control,-8.0975,-7.8975,4,-2.683712121212121,-3.722196969696971,
perplexity,CH,control,-6.91,-3.23,4,-1.496212121212121,0.945303030303029,
perplexity,CO,control,-3.5324999999999998,-1.9874999999999998,4,1.8812878787878793,2.187803030303029,
perplexity,GT,control,-6.6899999999999995,-5.345,4,-1.2762121212121205,-1.1696969696969708,
perplexity,IN,control,0.9975,0.9,4,6.4112878787878795,5.075303030303029,
perplexity,KE,control,-5.170000000000001,-4.376666666666666,3,0.24378787878787822,-0.20136363636363708,
perplexity,NG,control,-7.8775,-5.1275,4,-2.4637121212121214,-0.9521969696969714,
perplexity,NL,control,-7.2825,-2.8575,4,-1.8687121212121207,1.317803030303029,
perplexity,NZ,control,-3.815,-3.7424999999999997,4,1.598787878787879,0.43280303030302925,
perplexity,PG,control,-8.1875,-4.922499999999999,4,-2.773712121212121,-0.7471969696969705,
perplexity,RS,control,-7.2525,-3.755,4,-1.8387121212121214,0.42030303030302907,
perplexity,SG,control,-1.815,-2.1675,4,3.598787878787879,2.007803030303029,
perplexity,US,control,-7.6274999999999995,-7.5525,4,-2.2137121212121205,-3.3771969696969713,
perplexity,VN,control,-0.5675,-2.9375,4,4.846287878787879,1.237803030303029,
perplexity,BR,farleft,-8.127500000000001,-7.987500000000001,4,-1.032236842105264,-1.5011842105263158,
perplexity,CA,farleft,-7.942500000000001,-7.32,4,-0.8472368421052634,-0.8336842105263154,
perplexity,CO,farleft,-8.13,-8.0,3,-1.0347368421052634,-1.513684210526315,
perplexity,NG,farleft,-3.6574999999999998,-1.8975,4,3.4377631578947376,4.588815789473685,
perplexity,US,farleft,-7.8775,-7.605,4,-0.782236842105263,-1.1186842105263155,
perplexity,AE,farright,-8.035,-8.0275,4,0.07638888888888928,-0.039722222222222214,
perplexity,BR,farright,-7.963333333333334,-8.05,3,0.1480555555555556,-0.06222222222222307,
perplexity,CA,farright,-8.377500000000001,-8.025,4,-0.26611111111111185,-0.03722222222222271,
perplexity,CH,farright,-8.005,-8.0525,4,0.10638888888888864,-0.06472222222222257,
perplexity,CO,farright,-8.065,-7.9725,4,0.04638888888888992,0.015277777777777501,
perplexity,NG,farright,-8.0975,-7.95,4,0.013888888888889284,0.037777777777777466,
perplexity,NL,farright,-8.190000000000001,-7.822500000000001,4,-0.07861111111111185,0.16527777777777697,
perplexity,RS,farright,-8.255,-7.987500000000001,4,-0.14361111111111136,0.000277777777776933,
perplexity,SG,farright,-8.38,-8.1,1,-0.26861111111111136,-0.112222222222222,
perplexity,US,farright,-7.91,-7.99,4,0.20138888888888928,-0.0022222222222225696,
gemini,AE,,-5.586666666666666,-4.510000000000001,3,0.018717948717948296,0.5058974358974346,english
gemini,BR,,-5.669999999999999,-4.343333333333333,3,-0.06461538461538474,0.6725641025641025,english
gemini,BZ,,-4.5,-3.03,1,1.1053846153846143,1.9858974358974355,english
gemini,CA,,-5.296666666666667,-4.823333333333333,3,0.30871794871794744,0.19256410256410206,english
gemini,CH,,-5.88,-5.385,2,-0.2746153846153856,-0.3691025641025645,english
gemini,CO,,-5.63,-5.213333333333334,3,-0.024615384615385594,-0.1974358974358985,english
gemini,GT,,-4.88,-2.97,1,0.7253846153846144,2.045897435897435,english
gemini,IN,,-5.583333333333333,-5.336666666666666,3,0.022051282051281262,-0.3207692307692307,english
